node,x,y,pm
0,50.812489,4.3792029999999995,63.027657875
1,50.833424,4.313378,78.8726802496
2,50.804455,4.426369,53.5807796005
3,50.877037,4.300847,80.3057668322
4,50.863875,4.358708,86.04048798950001
5,50.820042,4.374785,76.9910188843
6,50.810085,4.324864,79.56075235770001
7,50.845124,4.351486,83.1785942079
8,50.81418,4.347721,58.8756459072
9,50.895485,4.341311,71.54948504069999
10,50.816525,4.336212000000001,68.5036702937
11,50.872475,4.314266,61.66656297390001
12,50.798988,4.3755809999999995,76.93059858810001
13,50.856582,4.430988,88.44241252379999
14,50.87808,4.34793,76.777572239
15,50.874767,4.308977,82.66253574779999
16,50.824352000000005,4.334465,66.8975586539
17,50.835968,4.355508,67.9958824949
18,50.836151,4.3260190000000005,77.1657407476
19,50.895592,4.387965,60.586137147799995
20,50.85904,4.312402,69.1429609991
21,50.876205,4.337137,88.2752636484
22,50.834237,4.350732,60.9683429662
23,50.873354,4.3343110000000005,86.9757323843
24,50.862152,4.323353,85.7473585269
25,50.848865999999994,4.320628,64.5694833772
26,50.813858,4.330992,77.2854769087
27,50.860652,4.358116000000001,71.1402668045
28,50.84045,4.305055,76.4428413975
29,50.849358,4.363589,61.2441039757
30,50.874082,4.362205,80.85567106149999
31,50.834792,4.364115,78.9811414735
32,50.853666,4.351771,65.3059061944
33,50.877125,4.3875150000000005,85.8128491799
34,50.858959999999996,4.330107,85.3564679043
35,50.859608,4.33409,75.9632200282
36,50.841770000000004,4.384180000000001,67.475269297
37,50.896278,4.372427,48.3707316667
38,50.853947,4.31635,80.2301821824
39,50.821557,4.4022879999999995,70.7502212608
40,50.827577000000005,4.363797,75.8165504817
41,50.856714000000004,4.362106,67.5753996258
42,50.88058,4.401674,63.0527347267
43,50.868790000000004,4.399587,68.7891225744
44,50.881588,4.373817,91.3705713807
45,50.809406,4.443777,77.1143133982
46,50.858058,4.318689,71.6928034532
47,50.839413,4.328914,77.6106889508
48,50.811752,4.3534239999999995,85.5014569162
49,50.887001,4.310701,62.1752820128
50,50.849409,4.389263,80.4023501608
51,50.831592,4.385786,68.5836527335
52,50.859212,4.34551,64.7828728511
53,50.854714,4.347151,62.7583762459
54,50.857217999999996,4.407879,57.4199192507
55,50.869032000000004,4.309731,71.0529137571
56,50.866609999999994,4.373101999999999,45.552062742
57,50.819939,4.325277,79.7970072921
58,50.859243,4.401022,71.9299716552
59,50.825749,4.345165,86.9113598225
60,50.8572655241,4.33236837869,81.6161554528
61,50.848184,4.425621,72.3877267642
62,50.851919,4.352776,92.94150523489999
63,50.84563,4.346941999999999,77.0884917602
64,50.867020000000004,4.406994999999999,76.4300580715
65,50.863872,4.366741,79.7640361795
66,50.856584000000005,4.352876999999999,62.377271960600005
67,50.823898,4.367751999999999,71.3257727816
68,50.825706,4.288377,64.209227948
69,50.824055,4.326376,89.81978876790001
70,50.833444,4.334857,70.48351104449999
71,50.852389,4.387373,72.3600032368
72,50.827971999999995,4.330705,58.2540208372
73,50.853972999999996,4.38374,80.0827003231
